project_id,target_locale,translator_id,role
67,es-ES,45,Translator
67,es-ES,475,Reviewer
68,de-DE,309,Translator
68,de-DE,56,Reviewer
68,fr-FR,369,Translator
68,fr-FR,260,Reviewer
68,es-ES,226,Translator
68,es-ES,223,Reviewer
68,da-DK,85,Translator
68,da-DK,409,Reviewer
69,fr-FR,260,Translator
69,fr-FR,277,Reviewer
69,es-ES,90,Translator
69,es-ES,231,Reviewer
69,zh-CN,312,Translator
69,zh-CN,308,Reviewer
70,es-ES,141,Translator
70,it-IT,408,Translator
70,fr-FR,277,Translator
70,ja-JP,193,Translator
70,de-DE,339,Translator
71,es-ES,45,Translator
71,es-ES,475,Reviewer
71,de-DE,142,Translator
71,de-DE,78,Reviewer
71,fr-FR,229,Translator
71,fr-FR,94,Reviewer
71,zh-CN,228,Translator
71,zh-CN,376,Reviewer
72,fr-FR,423,Translator
72,fr-FR,484,Reviewer
72,en-GB,121,Translator
72,en-GB,498,Reviewer
72,de-DE,348,Translator
72,de-DE,370,Reviewer
73,ja-JP,73,Translator
73,ja-JP,397,Reviewer
73,zh-CN,232,Translator
73,zh-CN,308,Reviewer
74,es-ES,168,Translator
74,es-ES,155,Reviewer
74,fr-FR,453,Translator
74,fr-FR,225,Reviewer
75,fr-FR,484,Translator
75,fr-FR,171,Reviewer
75,nl-NL,167,Translator
75,nl-NL,145,Reviewer
75,it-IT,428,Translator
75,it-IT,18,Reviewer
75,es-ES,155,Translator
75,es-ES,168,Reviewer
76,de-DE,434,Translator
76,de-DE,97,Reviewer
76,da-DK,476,Translator
76,da-DK,409,Reviewer
76,fr-FR,459,Translator
76,fr-FR,169,Reviewer
76,es-ES,426,Translator
76,es-ES,168,Reviewer
77,ja-JP,103,Translator
77,fr-FR,435,Translator
77,de-DE,240,Translator
77,ko-KR,305,Translator
77,es-ES,426,Translator
78,fr-FR,225,Translator
78,en-GB,198,Translator
79,ko-KR,267,Translator
79,fr-FR,171,Translator
79,zh-CN,106,Translator
80,it-IT,467,Translator
80,it-IT,152,Reviewer
80,ja-JP,470,Translator
80,ja-JP,187,Reviewer
80,es-ES,141,Translator
80,es-ES,29,Reviewer
80,fr-FR,406,Translator
80,fr-FR,225,Reviewer
81,de-DE,115,Translator
81,de-DE,177,Reviewer
82,fr-FR,229,Translator
82,fr-FR,180,Reviewer
82,de-DE,56,Translator
82,de-DE,97,Reviewer
82,ja-JP,187,Translator
82,ja-JP,266,Reviewer
82,zh-CN,136,Translator
82,zh-CN,42,Reviewer
83,fr-FR,169,Translator
83,fr-FR,162,Reviewer
83,nl-NL,167,Translator
83,nl-NL,350,Reviewer
83,es-ES,155,Translator
83,es-ES,29,Reviewer
83,it-IT,492,Translator
83,it-IT,416,Reviewer
83,de-DE,97,Translator
83,de-DE,352,Reviewer
84,de-DE,424,Translator
84,de-DE,224,Reviewer
85,pt-BR,131,Translator
85,pt-BR,14,Reviewer
85,ja-JP,187,Translator
85,ja-JP,193,Reviewer
85,de-DE,177,Translator
85,de-DE,56,Reviewer
85,es-ES,163,Translator
85,es-ES,66,Reviewer
85,fr-FR,363,Translator
85,fr-FR,33,Reviewer
86,es-ES,90,Translator
86,es-ES,155,Reviewer
86,de-DE,424,Translator
86,de-DE,71,Reviewer
86,fr-FR,277,Translator
86,fr-FR,91,Reviewer
86,it-IT,18,Translator
86,it-IT,467,Reviewer
86,nl-NL,439,Translator
86,nl-NL,87,Reviewer
87,zh-CN,204,Translator
87,zh-CN,228,Reviewer
87,fr-FR,277,Translator
87,fr-FR,451,Reviewer
87,ko-KR,413,Translator
87,ko-KR,284,Reviewer
87,de-DE,56,Translator
87,de-DE,424,Reviewer
88,ja-JP,295,Translator
88,ko-KR,490,Translator
88,fr-FR,244,Translator
88,es-ES,390,Translator
88,de-DE,348,Translator
89,ko-KR,88,Translator
89,fr-FR,244,Translator
89,ja-JP,98,Translator
89,es-ES,90,Translator
90,it-IT,385,Translator
90,it-IT,416,Reviewer
90,de-DE,197,Translator
90,de-DE,142,Reviewer
90,fr-FR,58,Translator
90,fr-FR,91,Reviewer
91,fr-FR,459,Translator
91,fr-FR,164,Reviewer
91,it-IT,416,Translator
91,it-IT,428,Reviewer
92,fr-FR,82,Translator
92,ja-JP,98,Translator
92,es-ES,163,Translator
93,ja-JP,187,Translator
93,de-DE,288,Translator
93,fr-FR,24,Translator
94,fr-FR,423,Translator
95,fr-FR,441,Translator
95,fr-FR,58,Reviewer
95,ja-JP,295,Translator
95,ja-JP,74,Reviewer
95,zh-CN,106,Translator
95,zh-CN,495,Reviewer
95,es-ES,168,Translator
95,es-ES,29,Reviewer
95,de-DE,177,Translator
95,de-DE,352,Reviewer
96,en-GB,487,Translator
96,en-GB,139,Reviewer
97,de-DE,352,Translator
97,es-ES,426,Translator
97,fr-FR,260,Translator
98,es-ES,323,Translator
98,fr-FR,236,Translator
98,ja-JP,491,Translator
98,de-DE,370,Translator
99,de-DE,57,Translator
99,fr-FR,484,Translator
100,en-US,487,Translator
100,en-US,357,Reviewer
100,de-DE,61,Translator
100,de-DE,177,Reviewer
100,fr-FR,423,Translator
100,fr-FR,277,Reviewer
100,es-ES,168,Translator
100,es-ES,241,Reviewer
101,es-ES,76,Translator
101,it-IT,428,Translator
101,de-DE,199,Translator
102,es-ES,141,Translator
102,es-ES,101,Reviewer
102,it-IT,467,Translator
102,it-IT,175,Reviewer
102,fr-FR,244,Translator
102,fr-FR,369,Reviewer
102,ja-JP,187,Translator
102,ja-JP,72,Reviewer
102,de-DE,424,Translator
102,de-DE,374,Reviewer
103,de-DE,199,Translator
103,de-DE,61,Reviewer
103,ja-JP,366,Translator
103,ja-JP,255,Reviewer
103,es-ES,90,Translator
103,es-ES,66,Reviewer
103,it-IT,492,Translator
103,it-IT,416,Reviewer
103,fr-FR,369,Translator
103,fr-FR,229,Reviewer
104,ja-JP,221,Translator
104,zh-CN,50,Translator
104,de-DE,48,Translator
104,ko-KR,413,Translator
104,fr-FR,3,Translator
105,fr-FR,381,Translator
105,de-DE,199,Translator
105,ko-KR,490,Translator
106,fr-FR,58,Translator
106,ja-JP,221,Translator
106,es-ES,45,Translator
106,de-DE,142,Translator
107,fr-FR,162,Translator
107,fr-FR,33,Reviewer
107,es-ES,163,Translator
107,es-ES,390,Reviewer
108,es-ES,263,Translator
108,ja-JP,351,Translator
108,de-DE,197,Translator
108,fr-FR,435,Translator
108,en-GB,212,Translator
109,ja-JP,351,Translator
109,ja-JP,320,Reviewer
109,fr-FR,365,Translator
109,fr-FR,484,Reviewer
110,fr-FR,380,Translator
110,fr-FR,406,Reviewer
110,zh-CN,20,Translator
110,zh-CN,184,Reviewer
110,es-ES,134,Translator
110,es-ES,426,Reviewer
110,de-DE,97,Translator
110,de-DE,352,Reviewer
110,ja-JP,494,Translator
110,ja-JP,255,Reviewer
111,fr-FR,5,Translator
111,fr-FR,441,Reviewer
111,es-ES,45,Translator
111,es-ES,483,Reviewer
111,it-IT,36,Translator
111,it-IT,175,Reviewer
111,ja-JP,73,Translator
111,ja-JP,95,Reviewer
111,de-DE,142,Translator
111,de-DE,374,Reviewer
112,en-US,315,Translator
112,en-US,34,Reviewer
112,fr-FR,33,Translator
112,fr-FR,225,Reviewer
112,ja-JP,317,Translator
112,ja-JP,98,Reviewer
113,ja-JP,270,Translator
113,fr-FR,435,Translator
113,es-ES,241,Translator
114,es-ES,241,Translator
114,es-ES,294,Reviewer
114,fr-FR,91,Translator
114,fr-FR,451,Reviewer
114,de-DE,303,Translator
114,de-DE,97,Reviewer
115,da-DK,70,Translator
115,da-DK,195,Reviewer
115,es-ES,200,Translator
115,es-ES,426,Reviewer
115,de-DE,61,Translator
115,de-DE,199,Reviewer
115,fr-FR,229,Translator
115,fr-FR,453,Reviewer
116,it-IT,467,Translator
116,es-ES,76,Translator
116,fr-FR,365,Translator
116,de-DE,288,Translator
116,ja-JP,270,Translator
117,fr-FR,444,Translator
117,fr-FR,322,Reviewer
117,en-US,22,Translator
117,en-US,383,Reviewer
117,es-ES,399,Translator
117,es-ES,168,Reviewer
117,de-DE,199,Translator
117,de-DE,309,Reviewer
118,zh-CN,16,Translator
118,zh-CN,228,Reviewer
118,de-DE,309,Translator
118,de-DE,56,Reviewer
118,ja-JP,351,Translator
118,ja-JP,295,Reviewer
118,fr-FR,327,Translator
118,fr-FR,302,Reviewer
119,es-ES,200,Translator
119,es-ES,294,Reviewer
120,ja-JP,285,Translator
120,ja-JP,421,Reviewer
121,es-ES,101,Translator
121,es-ES,223,Reviewer
121,de-DE,240,Translator
121,de-DE,78,Reviewer
121,ja-JP,281,Translator
121,ja-JP,73,Reviewer
121,fr-FR,3,Translator
121,fr-FR,423,Reviewer
122,fr-FR,162,Translator
122,fr-FR,435,Reviewer
122,es-ES,101,Translator
122,es-ES,29,Reviewer
122,en-US,496,Translator
122,en-US,422,Reviewer
122,de-DE,300,Translator
122,de-DE,61,Reviewer
123,es-ES,399,Translator
124,en-US,468,Translator
124,en-US,212,Reviewer
124,ja-JP,266,Translator
124,ja-JP,98,Reviewer
124,de-DE,309,Translator
124,de-DE,97,Reviewer
124,fr-FR,381,Translator
124,fr-FR,180,Reviewer
125,fr-FR,322,Translator
125,fr-FR,369,Reviewer
126,fr-FR,250,Translator
126,fr-FR,5,Reviewer
126,ja-JP,266,Translator
126,ja-JP,285,Reviewer
126,es-ES,141,Translator
126,es-ES,483,Reviewer
126,de-DE,352,Translator
126,de-DE,348,Reviewer
126,en-GB,498,Translator
126,en-GB,30,Reviewer
127,ko-KR,490,Translator
127,ko-KR,305,Reviewer
127,ja-JP,187,Translator
127,ja-JP,73,Reviewer
127,fr-FR,363,Translator
127,fr-FR,484,Reviewer
128,en-US,318,Translator
128,en-US,383,Reviewer
128,fr-FR,464,Translator
128,fr-FR,459,Reviewer
128,es-ES,390,Translator
128,es-ES,294,Reviewer
128,de-DE,177,Translator
128,de-DE,61,Reviewer
129,ko-KR,331,Translator
129,ko-KR,209,Reviewer
129,fr-FR,322,Translator
129,fr-FR,250,Reviewer
129,ja-JP,317,Translator
129,ja-JP,285,Reviewer
129,de-DE,97,Translator
129,de-DE,224,Reviewer
129,es-ES,226,Translator
129,es-ES,66,Reviewer
130,de-DE,115,Translator
130,de-DE,199,Reviewer
131,ja-JP,270,Translator
131,zh-CN,111,Translator
131,fr-FR,453,Translator
131,de-DE,56,Translator
132,de-DE,199,Translator
132,en-US,259,Translator
132,ja-JP,281,Translator
132,fr-FR,435,Translator
133,fr-FR,365,Translator
133,fr-FR,381,Reviewer
134,ja-JP,239,Translator
134,ja-JP,74,Reviewer
134,es-ES,263,Translator
134,es-ES,163,Reviewer
134,de-DE,370,Translator
134,de-DE,240,Reviewer
134,fr-FR,91,Translator
134,fr-FR,82,Reviewer
134,ko-KR,246,Translator
134,ko-KR,210,Reviewer
135,ko-KR,235,Translator
135,ko-KR,267,Reviewer
135,fr-FR,24,Translator
135,fr-FR,326,Reviewer
135,de-DE,339,Translator
135,de-DE,303,Reviewer
135,es-ES,168,Translator
135,es-ES,223,Reviewer
135,ja-JP,182,Translator
135,ja-JP,221,Reviewer
136,fr-FR,229,Translator
136,fr-FR,82,Reviewer
136,ja-JP,281,Translator
136,ja-JP,73,Reviewer
136,de-DE,309,Translator
136,de-DE,339,Reviewer
136,es-ES,226,Translator
136,es-ES,134,Reviewer
137,de-DE,301,Translator
137,de-DE,71,Reviewer
137,fr-FR,5,Translator
137,fr-FR,33,Reviewer
137,en-GB,121,Translator
137,en-GB,292,Reviewer
138,ja-JP,281,Translator
138,ja-JP,455,Reviewer
138,de-DE,177,Translator
138,de-DE,224,Reviewer
139,da-DK,215,Translator
139,da-DK,138,Reviewer
139,fr-FR,229,Translator
139,fr-FR,423,Reviewer
139,de-DE,348,Translator
139,de-DE,240,Reviewer
139,es-ES,231,Translator
139,es-ES,141,Reviewer
140,fr-FR,5,Translator
140,es-ES,399,Translator
140,de-DE,97,Translator
140,ja-JP,95,Translator
141,es-ES,200,Translator
141,es-ES,241,Reviewer
142,de-DE,348,Translator
142,ko-KR,305,Translator
142,ja-JP,270,Translator
142,es-ES,76,Translator
142,fr-FR,459,Translator
143,es-ES,101,Translator
143,es-ES,226,Reviewer
143,fr-FR,91,Translator
143,fr-FR,327,Reviewer
144,zh-CN,136,Translator
144,zh-CN,335,Reviewer
144,de-DE,240,Translator
144,de-DE,348,Reviewer
144,fr-FR,162,Translator
144,fr-FR,3,Reviewer
144,es-ES,76,Translator
144,es-ES,101,Reviewer
145,it-IT,347,Translator
145,it-IT,36,Reviewer
145,es-ES,90,Translator
145,es-ES,200,Reviewer
145,ja-JP,494,Translator
145,ja-JP,449,Reviewer
145,de-DE,142,Translator
145,de-DE,177,Reviewer
145,fr-FR,277,Translator
145,fr-FR,5,Reviewer
146,it-IT,36,Translator
146,es-ES,163,Translator
146,fr-FR,250,Translator
146,de-DE,301,Translator
147,ja-JP,73,Translator
147,fr-FR,435,Translator
147,zh-CN,493,Translator
148,de-DE,352,Translator
149,de-DE,56,Translator
149,de-DE,348,Reviewer
149,fr-FR,453,Translator
149,fr-FR,464,Reviewer
150,es-ES,263,Translator
150,de-DE,424,Translator
150,ja-JP,182,Translator
150,it-IT,465,Translator
150,fr-FR,363,Translator
151,fr-FR,381,Translator
151,fr-FR,229,Reviewer
151,de-DE,288,Translator
151,de-DE,300,Reviewer
151,pt-BR,337,Translator
151,pt-BR,104,Reviewer
151,es-ES,161,Translator
151,es-ES,223,Reviewer
152,de-DE,61,Translator
152,de-DE,199,Reviewer
152,fr-FR,180,Translator
152,fr-FR,3,Reviewer
152,ja-JP,182,Translator
152,ja-JP,449,Reviewer
152,it-IT,385,Translator
152,it-IT,216,Reviewer
152,es-ES,241,Translator
152,es-ES,141,Reviewer
153,de-DE,370,Translator
154,fr-FR,33,Translator
154,fr-FR,5,Reviewer
154,de-DE,48,Translator
154,de-DE,303,Reviewer
154,ja-JP,74,Translator
154,ja-JP,221,Reviewer
155,de-DE,110,Translator
155,de-DE,177,Reviewer
155,fr-FR,164,Translator
155,fr-FR,277,Reviewer
155,ja-JP,317,Translator
155,ja-JP,494,Reviewer
155,es-ES,141,Translator
155,es-ES,29,Reviewer
156,fr-FR,423,Translator
156,fr-FR,244,Reviewer
156,nl-NL,89,Translator
156,nl-NL,311,Reviewer
156,de-DE,301,Translator
156,de-DE,303,Reviewer
156,it-IT,443,Translator
156,it-IT,408,Reviewer
156,pl-PL,188,Translator
156,pl-PL,287,Reviewer
156,es-ES,483,Translator
156,es-ES,200,Reviewer
157,fr-FR,162,Translator
157,fr-FR,441,Reviewer
157,en-US,420,Translator
157,en-US,357,Reviewer
157,es-ES,426,Translator
157,es-ES,134,Reviewer
157,de-DE,177,Translator
157,de-DE,61,Reviewer
158,de-DE,288,Translator
158,en-US,420,Translator
158,es-ES,200,Translator
158,fr-FR,164,Translator
159,es-ES,90,Translator
159,ja-JP,221,Translator
159,fr-FR,162,Translator
159,de-DE,224,Translator
160,en-US,233,Translator
160,en-US,468,Reviewer
160,es-ES,200,Translator
160,es-ES,45,Reviewer
160,fr-FR,3,Translator
160,fr-FR,169,Reviewer
161,zh-CN,50,Translator
161,zh-CN,111,Reviewer
161,de-DE,56,Translator
161,de-DE,78,Reviewer
161,ja-JP,187,Translator
161,ja-JP,491,Reviewer
161,ko-KR,490,Translator
161,ko-KR,210,Reviewer
161,fr-FR,24,Translator
161,fr-FR,327,Reviewer
162,ja-JP,254,Translator
162,ja-JP,397,Reviewer
163,en-US,318,Translator
163,en-US,357,Reviewer
164,fr-FR,91,Translator
164,fr-FR,171,Reviewer
164,it-IT,416,Translator
164,it-IT,47,Reviewer
164,de-DE,339,Translator
164,de-DE,177,Reviewer
164,ja-JP,281,Translator
164,ja-JP,317,Reviewer
164,es-ES,475,Translator
164,es-ES,45,Reviewer
165,fr-FR,236,Translator
165,fr-FR,91,Reviewer
165,ja-JP,491,Translator
165,ja-JP,281,Reviewer
165,zh-CN,376,Translator
165,zh-CN,96,Reviewer
165,de-DE,370,Translator
165,de-DE,486,Reviewer
166,ko-KR,297,Translator
166,fr-FR,3,Translator
166,es-ES,163,Translator
166,ja-JP,74,Translator
166,de-DE,199,Translator
167,en-GB,292,Translator
167,de-DE,199,Translator
167,fr-FR,24,Translator
168,es-ES,426,Translator
168,es-ES,263,Reviewer
168,de-DE,374,Translator
168,de-DE,61,Reviewer
169,ja-JP,455,Translator
169,zh-CN,96,Translator
169,fr-FR,180,Translator
169,ko-KR,316,Translator
170,ja-JP,98,Translator
170,ja-JP,281,Reviewer
170,de-DE,288,Translator
170,de-DE,301,Reviewer
170,es-ES,161,Translator
170,es-ES,155,Reviewer
170,fr-FR,423,Translator
170,fr-FR,24,Reviewer
171,ja-JP,295,Translator
171,es-ES,263,Translator
171,de-DE,197,Translator
171,fr-FR,171,Translator
172,it-IT,443,Translator
172,it-IT,47,Reviewer
172,nl-NL,196,Translator
172,nl-NL,119,Reviewer
172,es-ES,231,Translator
172,es-ES,200,Reviewer
172,pl-PL,368,Translator
172,pl-PL,219,Reviewer
172,fr-FR,451,Translator
172,fr-FR,250,Reviewer
172,de-DE,142,Translator
172,de-DE,144,Reviewer
173,es-ES,90,Translator
173,es-ES,29,Reviewer
173,fr-FR,162,Translator
173,fr-FR,169,Reviewer
174,en-GB,150,Translator
174,en-GB,487,Reviewer
174,de-DE,300,Translator
174,de-DE,71,Reviewer
174,fr-FR,236,Translator
174,fr-FR,451,Reviewer
175,fr-FR,444,Translator
175,en-GB,292,Translator
175,de-DE,97,Translator
176,fr-FR,58,Translator
176,fr-FR,236,Reviewer
176,es-ES,226,Translator
176,es-ES,141,Reviewer
176,ko-KR,267,Translator
176,ko-KR,102,Reviewer
176,ja-JP,211,Translator
176,ja-JP,254,Reviewer
176,de-DE,56,Translator
176,de-DE,115,Reviewer
177,ko-KR,490,Translator
177,ko-KR,102,Reviewer
177,ja-JP,449,Translator
177,ja-JP,455,Reviewer
177,zh-CN,42,Translator
177,zh-CN,335,Reviewer
178,it-IT,36,Translator
178,it-IT,181,Reviewer
178,de-DE,197,Translator
178,de-DE,348,Reviewer
