translator_id,industry
91,Media & Entertainment
92,Finance
92,Software
93,Travel
94,E-learning
95,Media & Entertainment
95,Legal
95,Gaming
96,Legal
96,E-learning
96,Finance
97,Gaming
97,Retail
97,E-learning
98,Software
98,E-learning
98,Legal
99,Travel
99,Retail
100,E-learning
100,Software
100,Media & Entertainment
101,Media & Entertainment
101,Software
102,Travel
102,Gaming
103,Manufacturing
103,Retail
103,Gaming
104,E-learning
104,Healthcare
104,Gaming
105,Travel
105,Healthcare
106,Healthcare
107,Gaming
107,Legal
107,Media & Entertainment
108,Media & Entertainment
109,Manufacturing
109,Media & Entertainment
109,Legal
110,Healthcare
111,Finance
111,Legal
112,Finance
112,Healthcare
113,Finance
113,Gaming
113,Manufacturing
114,Gaming
115,Travel
115,Software
116,Gaming
117,Retail
118,Finance
119,Healthcare
119,Finance
119,E-learning
120,E-learning
120,Retail
121,Travel
121,Finance
122,Finance
122,Travel
123,Legal
123,Gaming
124,Manufacturing
125,Software
125,E-learning
126,Media & Entertainment
127,Media & Entertainment
128,Legal
129,Healthcare
129,Retail
130,E-learning
130,Travel
130,Gaming
131,Retail
132,Travel
133,Legal
133,Travel
134,Manufacturing
134,Travel
134,Media & Entertainment
135,Software
136,Software
137,Travel
138,Retail
138,E-learning
138,Legal
139,Healthcare
139,Software
139,Legal
140,Media & Entertainment
140,Travel
141,Finance
141,Manufacturing
141,Travel
142,Legal
143,E-learning
144,Media & Entertainment
144,Legal
144,Manufacturing
145,Gaming
146,Finance
146,Healthcare
146,Media & Entertainment
147,Finance
148,Finance
148,Gaming
149,Finance
150,Legal
150,Gaming
150,E-learning
151,Gaming
151,Retail
152,Legal
152,Healthcare
153,E-learning
153,Travel
153,Healthcare
154,Legal
154,Retail
155,Retail
155,Software
155,Finance
156,Manufacturing
157,Manufacturing
157,Gaming
158,Legal
158,Travel
158,Healthcare
159,Healthcare
159,Travel
160,Legal
160,Gaming
160,Retail
161,Healthcare
161,Finance
162,Media & Entertainment
162,Retail
163,Travel
164,E-learning
165,Healthcare
165,Retail
166,Finance
167,Media & Entertainment
168,Healthcare
169,Retail
169,E-learning
169,Gaming
170,Healthcare
170,Finance
170,Manufacturing
171,Finance
172,Healthcare
172,Legal
173,Finance
173,Media & Entertainment
173,Retail
174,Legal
174,E-learning
175,Gaming
175,Manufacturing
175,Healthcare
176,Travel
176,Manufacturing
177,Finance
177,Media & Entertainment
177,Manufacturing
178,Manufacturing
178,Legal
179,Software
179,Legal
179,Healthcare
180,Gaming
180,Healthcare
180,Retail
181,Media & Entertainment
182,Finance
183,Healthcare
184,Software
184,Retail
185,Finance
185,Retail
186,Healthcare
187,Healthcare
188,Travel
188,Manufacturing
189,Media & Entertainment
190,Retail
190,Finance
191,Gaming
191,E-learning
192,Legal
192,Travel
192,E-learning
193,Retail
193,Manufacturing
194,E-learning
195,Manufacturing
195,Legal
195,Software
196,E-learning
196,Travel
197,E-learning
198,Finance
199,Legal
200,Media & Entertainment
200,Retail
201,Retail
202,E-learning
202,Manufacturing
202,Media & Entertainment
203,Software
203,E-learning
203,Healthcare
204,Healthcare
204,Retail
204,Travel
205,Software
205,Legal
205,Gaming
206,E-learning
207,Manufacturing
208,Software
208,Finance
209,Gaming
210,Manufacturing
211,E-learning
211,Legal
212,E-learning
213,Retail
213,Finance
213,Gaming
214,Retail
215,Media & Entertainment
216,Software
216,Manufacturing
217,Gaming
217,Finance
218,Travel
219,Finance
219,Retail
219,Manufacturing
220,Software
221,Software
221,Travel
221,Retail
222,Retail
222,Software
223,Travel
223,E-learning
223,Software
224,Healthcare
224,E-learning
224,Software
225,Media & Entertainment
225,Finance
225,Gaming
226,E-learning
226,Retail
226,Finance
227,Travel
227,Retail
227,E-learning
228,E-learning
228,Software
229,Finance
230,Software
231,Media & Entertainment
232,Manufacturing
232,Healthcare
233,Finance
233,Retail
233,Manufacturing
234,Manufacturing
234,Travel
234,Software
235,Travel
236,Finance
236,Legal
237,Finance
238,Software
238,Gaming
239,Software
239,Media & Entertainment
239,Legal
240,Travel
241,Finance
241,Media & Entertainment
242,Retail
243,E-learning
243,Healthcare
243,Legal
244,Manufacturing
244,Finance
245,Manufacturing
246,Manufacturing
246,Finance
246,E-learning
247,Gaming
247,Media & Entertainment
248,Travel
248,Finance
248,E-learning
249,E-learning
249,Software
250,Manufacturing
251,Legal
252,Travel
252,E-learning
253,Travel
254,Manufacturing
255,Finance
256,Travel
256,E-learning
256,Software
257,Finance
258,Travel
258,Manufacturing
259,E-learning
260,Manufacturing
260,E-learning
260,Gaming
261,Travel
261,Software
262,E-learning
263,Software
263,Healthcare
264,Manufacturing
264,Finance
265,Media & Entertainment
265,Retail
265,E-learning
266,Finance
267,Manufacturing
267,Retail
268,Travel
269,Travel
269,Legal
270,Software
271,Retail
272,Manufacturing
273,Manufacturing
274,Retail
274,Manufacturing
274,Finance
275,Software
275,Gaming
275,Manufacturing
276,Software
276,Healthcare
276,Travel
277,Gaming
277,Retail
278,Travel
279,Software
280,Gaming
280,Manufacturing
281,Software
281,Manufacturing
281,Gaming
282,Gaming
283,Travel
284,Finance
285,Retail
286,Retail
287,Finance
288,Retail
288,Software
289,Media & Entertainment
289,Software
289,Healthcare
290,Retail
291,Media & Entertainment
291,Healthcare
292,Retail
293,Media & Entertainment
293,Legal
294,Healthcare
294,Retail
294,Manufacturing
295,Manufacturing
295,Software
295,Travel
296,Finance
297,Manufacturing
297,Software
297,Media & Entertainment
298,Media & Entertainment
298,E-learning
299,Manufacturing
300,Gaming
300,Retail
300,Media & Entertainment
301,Retail
301,E-learning
302,Finance
303,Manufacturing
304,Legal
305,Travel
306,Gaming
307,Gaming
307,Legal
307,E-learning
308,Retail
308,Gaming
309,Software
310,Healthcare
311,Travel
311,Gaming
312,Travel
312,E-learning
312,Gaming
313,Travel
314,Gaming
314,Media & Entertainment
314,Retail
315,Media & Entertainment
315,Finance
315,Retail
316,Gaming
316,Media & Entertainment
317,Legal
318,Gaming
318,Retail
318,Finance
319,E-learning
320,Travel
320,Retail
320,Healthcare
321,Gaming
321,Finance
322,Gaming
322,Software
323,Gaming
323,E-learning
324,Healthcare
324,Legal
324,Manufacturing
325,Media & Entertainment
325,Gaming
325,Legal
326,Software
326,Legal
326,E-learning
327,E-learning
328,Finance
328,Manufacturing
329,Finance
329,Retail
329,Gaming
330,Media & Entertainment
330,Travel
330,Software
331,Manufacturing
331,Retail
332,Legal
333,Travel
333,Legal
334,Software
334,E-learning
335,Travel
335,Legal
336,Media & Entertainment
337,Gaming
337,Manufacturing
337,Software
338,Finance
339,Healthcare
339,Finance
340,Manufacturing
341,Software
341,Legal
341,Finance
342,Retail
343,Media & Entertainment
343,Travel
343,Software
344,Healthcare
345,Software
346,Gaming
347,Software
348,Retail
349,Software
349,Media & Entertainment
349,Travel
350,Retail
351,Finance
351,Retail
351,Healthcare
352,Manufacturing
353,Legal
354,Gaming
355,E-learning
355,Travel
356,Manufacturing
357,Software
357,Gaming
358,Software
358,Gaming
358,Finance
359,Software
359,Travel
360,Software
360,Manufacturing
361,Travel
361,Healthcare
361,Finance
362,Software
362,Healthcare
362,Manufacturing
363,Legal
363,Software
363,Travel
364,Manufacturing
365,Healthcare
365,Gaming
365,Retail
366,Retail
366,Media & Entertainment
367,Gaming
367,Finance
368,E-learning
368,Media & Entertainment
369,Gaming
369,Software
370,Retail
370,Software
370,Finance
371,Manufacturing
371,Media & Entertainment
372,Retail
372,Travel
372,Manufacturing
373,Media & Entertainment
373,Healthcare
374,Gaming
374,Retail
374,Healthcare
375,Media & Entertainment
375,Manufacturing
376,E-learning
377,Legal
378,Legal
378,Travel
378,Media & Entertainment
379,E-learning
379,Retail
380,Travel
380,Software
380,Retail
381,Finance
381,Gaming
381,Healthcare
382,Manufacturing
382,Software
383,Media & Entertainment
384,E-learning
384,Legal
384,Gaming
385,Legal
386,Finance
386,Healthcare
387,E-learning
387,Finance
387,Gaming
388,Finance
388,Travel
389,Manufacturing
389,Software
390,Gaming
390,E-learning
391,Healthcare
392,Healthcare
392,Gaming
393,Healthcare
394,Legal
394,Manufacturing
394,Software
395,Travel
395,Finance
395,Retail
396,Retail
396,Travel
396,Software
397,Manufacturing
398,Software
398,Healthcare
398,E-learning
399,Software
400,Manufacturing
401,Media & Entertainment
401,Travel
401,Legal
402,Media & Entertainment
403,Gaming
403,Manufacturing
404,E-learning
404,Software
405,Software
405,Legal
405,Travel
406,Legal
406,Gaming
407,Manufacturing
408,Manufacturing
408,Legal
408,Gaming
409,Media & Entertainment
410,E-learning
410,Retail
411,Travel
411,Retail
411,E-learning
412,Finance
412,E-learning
412,Travel
413,Healthcare
413,Manufacturing
413,Legal
414,E-learning
415,Manufacturing
415,Healthcare
415,Gaming
416,Media & Entertainment
417,Media & Entertainment
417,Travel
417,E-learning
418,Software
418,Healthcare
418,Travel
419,Legal
420,Healthcare
420,Travel
420,Gaming
421,Retail
422,Legal
422,Travel
422,Healthcare
423,Manufacturing
424,Media & Entertainment
425,E-learning
425,Retail
425,Legal
426,Finance
426,Travel
426,Media & Entertainment
427,Retail
427,Software
428,Gaming
428,Healthcare
428,Finance
429,Media & Entertainment
429,Finance
429,Healthcare
430,E-learning
431,Retail
432,Manufacturing
433,Legal
434,Software
435,Gaming
435,Finance
435,Media & Entertainment
436,Legal
437,Manufacturing
437,E-learning
438,Travel
439,Healthcare
440,Healthcare
440,Travel
440,Retail
441,Travel
442,Legal
442,Manufacturing
443,Travel
444,Travel
444,Healthcare
445,Retail
445,Finance
445,Software
446,Travel
447,Manufacturing
447,E-learning
447,Travel
448,Retail
448,Healthcare
448,Travel
449,Media & Entertainment
449,Legal
449,Healthcare
450,Software
450,Healthcare
451,Retail
451,Media & Entertainment
452,Retail
452,Software
453,Media & Entertainment
453,Gaming
454,Gaming
455,Manufacturing
455,Gaming
456,Retail
456,Manufacturing
457,E-learning
457,Legal
457,Travel
458,Finance
459,Retail
459,E-learning
460,Finance
460,Software
461,E-learning
461,Manufacturing
462,Media & Entertainment
462,Legal
462,Software
463,Media & Entertainment
463,Healthcare
463,Retail
464,Media & Entertainment
464,Retail
465,Retail
466,Software
467,Gaming
468,Healthcare
468,Travel
468,Gaming
469,Healthcare
470,Travel
470,Retail
470,Media & Entertainment
471,Software
471,Legal
471,Retail
472,Finance
473,Retail
473,Legal
473,Manufacturing
474,Software
475,Media & Entertainment
475,Healthcare
475,Software
476,Legal
476,Gaming
476,Retail
477,Media & Entertainment
477,Software
477,Healthcare
478,Software
478,Gaming
479,Retail
479,Travel
480,Finance
480,E-learning
480,Media & Entertainment
481,Gaming
481,Software
482,E-learning
482,Gaming
483,Manufacturing
484,Healthcare
485,Software
485,Healthcare
486,Finance
486,Healthcare
486,Media & Entertainment
487,Legal
487,Software
487,Media & Entertainment
488,Retail
488,Travel
488,Finance
489,Manufacturing
490,Finance
491,E-learning
491,Travel
492,Retail
492,Media & Entertainment
492,Travel
493,E-learning
493,Retail
494,Legal
494,Retail
495,Manufacturing
495,E-learning
495,Media & Entertainment
496,Finance
496,Healthcare
497,Software
497,Healthcare
497,Gaming
498,Gaming
498,Software
499,Software
499,Manufacturing
500,Manufacturing
500,Gaming
500,Healthcare
